Timestamp,Name your favorite thing to do in the snow.,Name another name for Santa.,Name a strange place to see someone dressed up as Santa.,It’s not Christmas until I watch:,Name one of Santa’s reindeer that you would like to spend time with.,Name something Santa would like for Christmas.,Name the worst present to open on Christmas day.,Name Santa’s favorite cookie.,Name Santa’s second favorite snack (after cookies and milk),Name one of Santa’s reindeer that might be called the class clown.,Name a part of Santa’s suit.,Name a word that has the word “snow” in it.,Name someone you would buy a Christmas gift for.,When do you start decorating for Christmas?,Name a song Santa might use for his ringtone.,Name a type of music Santa might listen to on Christmas night while he delivers gifts.,Name an image you might find on Christmas wrapping paper.,Name a gift from “the twelve days of Christmas.”,Name something you need for wrapping gifts.,Name something Santa might do to disguise himself.,Name the most difficult present to wrap.,Name a popular Christmas Eve tradition.,Name something on every mom’s Christmas list.,Name something you might start doing on December 1?,Name a job that might require someone to work on Christmas day.,Name a way to greet someone at Christmas.,Name something you might smell at Christmas.,How many weeks before Christmas should you send out your Christmas cards?,What is your favorite thing to do on Christmas day?,Name a place that might be open on Christmas day.,Name something that should be at every Christmas party.,Name a piece of the nativity set.,Name something you can find at the North Pole.,Name someone Santa might invite to his birthday party.,"After delivering presents on Christmas, Santa probably:",Name the hardest person to buy a Christmas present for.,Name something Santa might brag about.,Name something you might decorate at Christmas.,Name something Mrs. Claus might leave the North Pole to escape from.,Name someone who was at the first Christmas in Bethlehem.,Name a song a group of carolers might sing.,Name a popular Christmas dessert.,Name a Christmas story parents might read to their kids.,Name something that is red and white.,Name some activities you might do if you ever went on a date with Santa.,"If Santa drove his sleigh on the freeway, name something he might be pulled over for.",Name something you might leave out on Christmas Eve.,Santa wouldn’t be able to work next year if he found he was allergic to:,"If Santa was back in the dating scene, name something he would need to update.",Name something people complain about at Christmas.,Name something people do the day after Christmas.,Name a holiday song you are tired of by Christmas.,We all know the Grinch stole Christmas. Name another holiday he might want to steal.,Name something you put on the Christmas tree.,Name something Mrs. Claus might do while Santa is delivering gifts.,Name something to put in your hot chocolate.,Name a place you might hide Christmas gifts.,"If Santa caught the flu, who would deliver the Christmas gifts?",Name a candy that is mostly available at Christmas time.,It’s officially Christmas season when…
11/5/2023 21:38:56,Snow angels,St nick,Dmv,Elf,Rudolph ,A warm vacation ,Loud toy,Snickerdoodles,Pizza,Vixen ,Boots,Snow blower ,Neighbors ,After Thanksgiving ,Here comes Santa Claus ,TranSiberian orchestra TSO,Snow flakes,5 golden rings,Tape,Shave his beard,Bike,Christmas pjs,More time with the kids,Listening to Christmas music,Nurse,Hug,Fresh baked cookies,2,Celebrate my birthday ,Hospital ,Lots of family,Star,Snow,Easter bunny,Sleeps,My parents,His big sack,Cookies,The elves,Shepherds,Christmas bells,Jelly rolls,Night before Christmas,Santa hat,Toy making,Speeding,Carrots for the reindeer ,Kids,Clothes,Not enough money,Sleep,All i want for Christmas is you Mariah,Hanukkah ,Ornaments ,Sleep,Ice cream,In the basement ,Amazon ,Candy cane,Thanksgiving is done
11/5/2023 21:39:31,Sledding ,St Nick,On the bus,White Christmas,Dasher,New tools ,Underwear,Chocolate chip,Chocolate,Rudolph,Black belt,Snowflake ,Mom,Thanksgiving,Jingle bells,Christmas carols ,Christmas tree ,5 golden rings,Tape,Sunglasses ,A ball,Read the nativity ,Pajamas,Make Christmas cookies,Nurse ,Merry Christmas ,Pine,3,Spend time with family,Hospital,Mistletoe,Baby Jesus,Santa’s workshop ,Rudolph,Takes a nap,Dad,His beard,A tree,The snow,Shepherds,Joy to the world,Gingerbread,‘Twas the night before Christmas ,Candy cane,Sledding ,Littering,Cookies and milk,Reindeer ,His clothes,Busy stores,Sleep,All I want for Christmas is you,Valentines,Ornaments ,Baking,Whipped cream,In the attic,Mrs Claus,Almond Rocca,Christmas tree is decorated
11/5/2023 21:41:29,Sled with family ,St.Nick,Library,Muppet's Christmas Carol,Rudolph,New bed,Gift card,Chocolate Chip.,Chestnuts,Prancer,Belt,Snowflake,Spouse,After Thanksgiving ,Little St.Nick,Trans Siberian Orchestra,Snowman,Five Golden Rings,Scissors,Wear something other than red,Anything ball shaped ,Christmas PJs,Maid,Finishing up Christmas shopping ,Emergency room nurse,Happy Holidays,Pine trees,Two,Watch my kids open gifts.,Hospital ,Prime Rib,Baby Jesus,Reindeer,Elves,Sleeps,Parents,His job,Cookies,Santa,Shepherds,We Wish You a Merry Christmas ,Pie,The Night Before Christmas ,Stocking,Sleigh ride,Speeding,Milk and Cookies,AI,Get in shape.,Music being played to early.,Return gifts,Do they know its Christmas time?,Halloween,Angel,Clean,Marshmallows ,Closet,The elves.,Candy canes,I am done Christmas shopping 
11/6/2023 6:44:41,Snow angels,Father Christmas ,My living room,Rudolph claymation,Donner,New boots,Socks,Sugar,Beef jerky,Prancer,Hat,Snowball ,Parent,Whenever i want,Jinglebell rock,Pop,Christmas tree,Nine ladies dancing,Tape,Lose weight,Bed,Getting pajamas ,Sleep,Decorating,Police officer,Happy holidays,Cinnamon ,3,Play games,Chinese restaurant ,Booze,Shepards,Candy canes,Easter Bunny ,Drinks hot cocoa,Spouse,Fast delivery,Front porch,Elves,Mary,Joy to the world ,Sugar cookies,Polar express,Ribbon,Reindeer tipping,Drinking and driving,Cookies,Milk,His hobbies,Doing dishes,Go to work,Wonderful Christmastime,Valentine's day,Tree skirt,Bake cookies,Candy cane,My closet,Mrs Claus,Hot chocolate kisses,The first present is wrapped
11/6/2023 8:26:18,Sled,Perra Noel ,Bathroom,Scrooge ,Comet,Pajamas,Toothbrush,Chocolate chip,Candy canes,Dancer,Belt,Snow mobile,Mom,November,Baby it’s cold outside,Rudolph,Stocking,Two turtle doves,Tape,Normal clothes,Something big and round,Nativity reinactment,Chocolate ,Advent,Plumber,Merry Christmas,Cinnamon pine cones ,In December ,Relax,,Love,Jesus,Elves,His wife,Takes a nap,Grandma,His belly,Tree,The cold,Jesus,Joy to the world,Egg nog,The night before Christmas ,Lights ,Build toys,Speeding,Cookies and milk,Air,His clothes ,Music,Eat,Simply having a wonderful Christmas time,Valentines ,Lights ,Bake,Candy canes,Under the bed,Mrs claus ,Chocolate oranges ,The music begins
11/6/2023 10:54:43,Build a snowman,Father Christmas,A car wash,"Home alone 1, 2 and 3",Rudolf,Gingerbread cookie ,Socks,Chocolate Chip ,Chocolate covered strawberries,Rudolph ,White fur trimmed jacket,Snowman,Niece,November 28th,Jingle bells,Christmas Pop,Jingle bells,5 Golden rings,Tape,Shave his beard,A bike,Opening one gift under the tree,Socks,Watch Christmas movies,Emergency medical ,Happy Holidays! ,Pine and firewood ,2,Relax with my family,Holiday Oil,Red Green and white!,Mary,A screw ,Jack Frost,Goes and gets breakfast/dinner and gets comfy in his bed.,Father,How many cookies he ate and how he still weighs the same.,A gingerbread house,The elves are annoying,Eve ,We wish you a Merry Christmas ,Chico chip cookies,The night before Christmas,Santa’s outfit ,Rode reindeer,Going to fast,Gingerbread cookies,Cookies,His boots,People being grouchy,"Play with gifts, Shopping with christmas money ",All I want for Christmas is you,Easter,A snowflake,Watch his location on Life360 ,Marshmallows ,In the trunk of my car ,The elves,Candy corn,The holiday commercials start
11/6/2023 12:18:00,sled,Saint Nicholas,gym,Die Hard,Rudolph,a break,underwear,chocolate chip,Nachos,Vixen,Hat,snowman,friend,After December 1st,Santa Clause is Coming to Town,Classic rock,Holly and ivy,5 golden rings,Bow,cut off his beard,A pony,open one present,vacation,Decorating,Hospital employees,Happy holidays,Pine tree,4,Eat,Gas station,egg nog,baby christ,Snow,Rudolph ,Takes a nap,significant other,How fast he can deliver presents,tree,The elves,Mary,Carol of the Bells,Fudge,Night Before Christmas,Ute fan,Fly around the world,Speeding,Cookies,reindeer ,His outfit,traffic,nap,Drummer Boy,Halloween,star,Sleep,candy cane,garage,Mrs. Claus,candy cane,Christmas decorations are up
11/6/2023 13:39:14,play,St Nicolas,Airport,mr krugars christmas,Comet,slippers,underwear,Sugar cookie,gingerbread,Prancer,hat,snowflake,husband,after thanksgiving,Run Run Rudolph,U2,santa,5 gold rings,tape,Dress like a tourist,bike,pajamas,dad,Decorating,police,merry christmas,Pine,3,Be with family,Walgreens,music,Mary,snow,toothfairy,naps,grandma,How many houses he visits.,Tree,All the noise from the toy shop.,Shepherds,We Wish You a Merry Christmas,gingerbread,The Grinch,Santa hat,make cookies,no lights,Carrots,sugar,His profile,So busy!,Sleep,All I want for Christmas ,Valentines,Lights,Read,marshmallow,Closet,Elves,candycane,Thanksgiving is over
11/6/2023 16:59:06,Build a snowman ,Saint Nick,Gas station,A muppet Christmas carol,Dancer,A cruise ,A mop,Sugar,Fruit cake,Comet,The belt ,Snowbank,My hubby,Right after Thanksgiving ,Santa baby,Workout music ,Snowflakes ,4 calling birds,Scissors ,Dye his beard,Clothes ,Reading the Christmas story,A clean house,Christmas countdown,Hotel concierge ,Happy holidays ,Gingerbread,4 or 5 ,Watch my kids open presents ,Any hotel ,A white elephant gift exchange,Stable,Santa's workshop,Mrs. Clause,Takes a bath,Grandma ,How much weight he lost during the summer ,My house,Raindeer smell,Mary,We wish you a merry christmas,Fudge,A Christmas Carol,Santa hat,Ice skating ,Wreckless driving ,Cookies and milk,Sawdust,His age,Shopping,Take down decorations,Candycane lane,The fourth of july,Garland,Take a bath,Candy canes ,In the car,Mrs. Clause,Chocolate santas ,Thanksgiving is over 
11/6/2023 17:14:55,Make a snowman!,Father Nikolas ,Grocery store,A hallmark christmas movie,Blitzen,New pair of gloves,Gift meant for someone else,Sugar,Nuts,Prancer,Belt,Snowman,Niece,Thanksgiving weekend,Jingle bell rock,Christmas music,Snowflake,5 golden rings ,Tape,Wear a coat,Ball,Open one gift,Updated family picture,Light the world campaign ,Nurse,Merry christmas!,Cinnamon pinecones,3,Eat christmas breakfast,Chinese restaurant ,Egg nog,Baby Jesus ,Elves,Rudolph,Sleeps,Brother,Carrying all the presents for a house in one trip,Tree,Snow,Mary,Silent night,Cheesecake,Twas the night before christmas,Popcorn container ,"Drink hot cocoa, go ice skating, go to a reindeer petting zoo, go for a ride in his sleigh",No license plate,Cookies,Milk,Picture,The cold,Enjoy their christmas gifts,Baby it's cold outside,Valentine's day,Star,Clean the loading room,Candy cane,Closet,Head elf,Candy canes,The tree is up
11/6/2023 19:16:53,Frolic,St Nick,,,Blitzen ,,Underwear,,,Dancer,Hat,,Spouse,December 1,,,Reindeer,,,,,,Massager,,,Merry Christmas ,Peppermint,2,Be with family,,People,Shepherds,,Jack Skellington,,Middle aged mom,,Gingerbread house,,Baby Jesus,Joy to the World,Fruitcake,A Christmas Carol,Candy cane,,Driving under the influence of egg nog,Carrots,Cookies and milk,,Family drama,Mope,All I want for cHristmas,,Tinsel,,,Closet,Mom,Fudge,
11/6/2023 20:55:10,Sled,Kris Kringle,Public Bathroom,White Christmas ,Rudolph,Ski mask,Cleaning stuff,Chocolate chip ,Doritos,Dancer,Belt,Snowman ,My Kids,Day after Thanksgiving ,I believe ilI can fly,Christmas music ,Santa,5 golden rings,Tape,Ski mask,Bike,New pajamas,Be nice to your siblings,Advent calendar ,Doctor,Hello,Pine,2,Spend time with the family,Hospital ,Food,Baby Jesus ,Snow,Frosty the Snowman,Sleeps,Parents,How fast he gets around the world,Living room,Snow,Baby Jesus,We wish you a merry Christmas ,Cheesecake ,The Bible ,Candy cane,Sleigh ride,Expired registration ,Cookies,Pine,His age,Cold,Try out new presents,Last christmas,St Patrick's ,Lights,Nap,Candy canes,Closet ,Mrs Claus,Candy cane,Its the day after Thanksgiving 
11/6/2023 22:06:15,Sled ,Saint Nick,Dentist office ,The Polar Express ,Dasher ,New gloves ,Clothing ,Chocolate chip ,Cake ,Rudolph ,Boots,Snowflake ,Mom,November 1 ,Jingle bells ,Rock ,Trees,5 golden rings ,Tape ,Shave his beard ,Ball,New pajamas,Massage ,Counting down ,Nurse ,Hug,Gingerbread,3,Relax ,Hospital ,Mistletoe ,Wisemen ,Elves,Easter Bunny ,Sleeps ,Spouse,Where he lives ,Cookies,Elves,Jesus ,Joy to the World ,Fudge,‘‘Twas the night before Christmas ,Candy cane ,Fly in his sleigh,Speeding ,Milk,Sugar ,,Prices of gifts ,Take down the tree ,Felix Navidad,Valentines,Ornaments ,Take a hot bath,Marshmallows,Top shelf of the closet ,First elf in command ,Candy cane ,Snow sticks to the ground 
11/6/2023 22:19:26,Lay in it,Kris kringle,Gas station,The Santa Claus,Cupid,Massage,An electronic device,Sugar cookie,Egg nog,Vixen ,Belt,Snowflake,My kids,After Thanksgiving,Feliz Navidad,Santa Claus is coming to town,Christmas tree,5 Golden rings,Tape ,Wear a Grinch suit,Ball ,Wrapped pajamas,Sleep,Reading Christmas stories,Hotel desk clerk,Mele Kalikimaka,Cinnamon,4 weeks,Be with family,Denny's,Egg nog,Lamb,Elves,Reindeer,Sleeps ,Husband,I can cut milk faster than anyone,Gingerbread house,The cold,Joseph,We wish you a Merry Christmas,Gingerbread,Twas the night before Christmas,Santa's suit,Drink hot chocolate,Drifting,Plate of cookies,Reindeer,His profile,Busy,Play with new toys,So this is Christmas,Valentine's Day,Ribbon ,Clean the house,Chocolate chips,Closet,Noelle ,Candy Cane,Christmas music is playing on the radio
11/6/2023 23:47:45,Go inside,,,Mistle-tones,Blitzen,,,,,Comet,,Snowcone,,,Up on the Housetop,Beach Boys,Reindeer,,Patience,Shave,,,Toys,Shopping,,Happy Holidays ,Pine,,Sleep,,,,,,Goes on vacation ,,Cookie record,Tree,,Bob,Wish you a merry Christmas ,Cookies,Twas the night,Candy cane,,,,Milk,,Wrapping,Clean up,,,,Bake,,,,Canes,
11/7/2023 3:35:50,Snow angels,St Nicholas ,Halloween party,It's a wonderful life,Rudolph ,Socks,Underwear,Chocolate chip,Carrot sticks ,Dasher ,Belt,Snowflake ,Child ,After Thanksgiving ,Jingle Bells,Country,Snowman ,Five golden rings,Tape,Change his clothes ,Car,Caroling ,Chocolate ,Shopping,Nurse,Merry Christmas,Cinnamon,3 weeks,Open presents,Denny's,Eggnog,Donkey,Snow,Elves,Sleeps,Mother,His speed ,Windows,Chaos,Mary,We wish you a Merry Christmas,Trifle,Nativity story,Scarf,Sleighride,Speeding,Cookies for Santa,Pollen,His beard ,Long lines,Shop for marked down Christmas items,Chestnuts roasting on an open fire,Thanksgiving ,Star,Knit,Peppermint,Closet ,Elves,Candy cane,Christmas music on the radio
11/7/2023 7:10:45,Make a snowman ,Chris Kringle,Target,Elf,Rudolph,Air pods,Underwear ,Sugar cookies,Venison jerky,Prancer,Belt,Snowman,Children,After thanksgiving ,Here Comes Santa Claus,Rock ,Present,Partridge in a pear tree,Tape,Wear sun glasses,Golf clubs ,Hot chocolate ,Chocolate ,Play Christmas music,Doctor ,Send a Christmas card,Cinnamon ,4,Be with my family,Denny’s,Music ,Baby Jesus ,Snow,Rudolph,Takes a nap,My husband,His age ,Tree,Elves ,Mary,We Wish You a Merry Christmas ,Cookies,How the Grinch Stole Christmas,Candy canes,Shop,Wide load,Stockings,Milk,His wardrobe,Busy stores,Return gifts,All I Want For Christmas Is You,Halloween,Star,Make dinner,Whipped cream,Closet,Buddy the Elf,Candy canes ,You put up your tree 
11/7/2023 10:38:12,Sled ,Papa noel,The pool,The Santa clause,Rudolph,A book,Used socks,Chocolate chip,Carrots,Donner,Belt ,Snow man,My husband,After thanksgiving,Jingle bells,Baby it’s cold outside,A present,Two turtle doves,Scissors ,Bakini,A ball ,Egg nog ,A clean house,"Reading Christmas stories, advent calendar",Hospice,Merry Christmas!,Cinnamon,Never…,Unwrap presents,Denny’s ,Christmas sweaters,Donkey ,A pole,Rudolph,Crashes for a year,Dad,His sleigh,Gingerbread,The cold,Jesus,We wish you a merry Christmas,Chocolate,Luke 2,Christmas lights,Unwrapping gifts with oven mitts on,Not strapping down his cargo,Cookies,Milk,His beard,No snow,Play games,I want a hippopotamus for Christmas,Birthdays,An Angel,Read a book,Chocolate,In a cooler,Mrs. Claus,Peppermint flavored kisses,Christmas music playing on the radio.
11/7/2023 14:08:56,Sled,Saint Nick ,Church ,Elf,Dasher,More time,Underwear,Chocolate chip,Egg nog,Donner,Hat,Snowball,Your child ,After Thanksgiving ,Deck the halls,Oldies,Snow flake,Turtle doves,Tape,Wear different clothes,Stuffed animals ,Watch a Christmas movie,Kitchen gadgets ,Turn on Christmas music ,Grocery store,Merry Christmas ,Pine trees,2,Sing carols ,Church,Treats,Jesus,Santa,Elves,Eats a snack ,Myself,His beard ,Your house ,The cold,Mary,Jingle bells,Egg nog,A Christmas Carol,Candy cane,Fly in his sleigh,Speeding,Cookies,Pine trees,His wardrobe,Snow,Sleep,Jingle bells,Easter,Lights,Take a nap,Marshmellows ,Closet,Mrs Clause,Candy canes,It snows
11/7/2023 18:41:44,Sledding,Kris Kringle,The beach,The Santa Clause ,Comet,A vacation ,Underwear ,Sugar cookie,Potato chips ,Dancer,Hat,Snowball,Kids,Day after Thanksgiving ,Rudolph the red nosed reindeer ,Santa Clause is coming to town,Santa Clause ,5 golden rings,Tape,Dye his hair & beard,Doll house,Opening one present,Clothes,Advent calendar ,Nurse,Merry Christmas ,Cinnamon,2,Open presents ,Movie theater ,Music,Manger,Elves,The tooth fairy,Takes a nap,Father,Flying reindeer ,Tree,All the tiny elves that need her,Mary,We wish you a merry Christmas ,Sugar cookies,The Night Before Christmas ,Candy cane,Ride in his sleigh,Not signaling when changing lanes,Milk,Reindeer ,His profile ,Money,Veg out,Silent Night,Halloween ,Star,Bake cookies,Marshmallows ,Under the stairs,Mrs Clause,Peppermint bark,Thanksgiving is over
11/7/2023 19:10:34,Sledding ,Kris Kringle,Synagogues ,Muppets Christmas Carol,Rudolph ,A massage ,Underwear ,Chocolate chip,Chocolate ,Prancer,Hat,Snow globe,Child,After Thanksgiving ,Jingle bells,Oldies,Snowman,5 golden rings,Wrapping paper ,Dye hair,Bikes ,Kissing at midnight ,Pictures of kids/grandchildren ,Decorating house,Movie Theater ,Happy Holidays ,Cinnamon ,3 weeks,Watch kid open presents ,Movie theater ,Gift exchange ,Jesus,Snow ,Jesus,Sleeps,Mom ,His beard ,House ,Elves ,Mary,Silent night,Chocolates,Twas the night before Christmas ,Candy cane,Sleigh ride with hot chocolate ,Speeding ,Beer,Reindeer ,Wardrobe ,Presents,Shop,Santa baby,Valentine's day ,Ornaments ,Relax,Marshmallows ,Closet,Mrs Claus ,Candy canes,Thanksgiving is over
11/7/2023 19:13:46,Snow angels,Chis kringle,Jail,Die hard,Dancer,TV,Underwear ,Sugar cookie,Hot chocolate,Blitzen,Hat ,Snow globe ,Sibling,After Thanksgiving,I saw Mommy kissing Santa Clause ,Rock,Snowmen,5 golden rings,Tape,Shave,Vase,Putting out cookies and milk,Peace and quiet,Advant calender,Retail,Seasons greetings ,Peppermint,2,Sleep in ,Chinese restaurant ,Christmas tree,Sheep,Smores,Father time ,Sleeps,Mom,Trick shot down the chimney,House ,Elves,Jesus,We wish you a Merry Christmas ,Hot chocolate,You are special,Candy cane,Ice skating,Improper tied down cargo,Cookies,Cotton,His relationship status,Lights,Return gifts,All I want for Christmas is you,Valentine's day,Tensil,Watch movies,Candy cane,Closet,Mrs. Clause,Chocolate oranges ,Black Friday starts
11/7/2023 19:22:47,Sledding ,St nick ,Church ,Home Alone ,Rudolph ,A vacation ,Underwear ,Chocolate chip ,Hot cocoa ,Comet ,Hat ,Snowball ,Friend ,Mid-November ,Jingle bells ,Rock ,Snowman ,Partridge In a pear tree ,Scissors ,Shave ,Guitar ,Gift exchange ,A nap ,Shopping ,Doctor ,Merry Christmas ,Decorations ,3,Be with family ,Gas station ,Christmas tree!,Lamb ,Snow ,Easter bunny ,Eats ,Dad/grandpa,His beard ,House ,Elves ,3 wise men ,Jingle bells ,Pie,Night before Christmas ,Candy cane ,Ice skating ,No taillights ,,Snow ,His facial hair 😆 ,Too expensive ,Put Christmas decor away ,Last Christmas ,Halloween ,Star ,Sleep! ,Whip cream ,Under the bed ,Mrs claus,Candy canes ,The tree is up 
11/7/2023 19:31:49,Sledding,Chris Kringle,Jail,A Christmas Story,Rudolf,New boots,Underwear,Chocolate chip,Candy,Comer,Hat,Snowman,Children,Mid November ,Run Run Rudolf,Christmas,Santa,5 golden rings ,Wrapping paper,Cut his beard,Ball,Opening pajamas,"Self care gift card (pedicure, massage, spa…)",Christmas count down,Doctor,Merry Christmas,Peppermint,3,Visit family,Chinese restaurant,Food,Jesus,Elves,Elves,Sleeps,Father-in-law,How fast he flies the sleigh,Tree,Santa,Jesus,We Wish You a Merry Christmas,Yule log,THE Christmas story (Jesus’ birth),Candy cane,Make Christmas cookies,Speeding,Cookies,Pine,His outfit,Too commercialized,Return gifts,Do You Hear What I Hear,Easter,Lights,Relax,Marshmallows,Basement storage room,Elves,Chocolate orange,Halloween ends
11/7/2023 19:43:56,Snowball fight ,Kris cringle ,Bar,Santa clause ,Rudolf ,The year off ,Plunger ,Chocolate chip,Candy,Rudolf ,Red suit,Snowflake ,Kids ,Couple days after thanksgiving ,Santa clause is coming to town,Christmas music ,Santa ,5 golden rings ,Wrapping paper ,Cloak ,Trampoline ,Candle light service ,Sleep inn,Decorate the tree,Fast food,Happy holidays ,Cinnamon ,3,Spend time with family ,McDonald’s ,Food,Jesus,Santa ,Reindeer ,Sleeps,Parents ,Havint all summer off,Tree,Elfs ,Mary,Jingle bells,Fruit cake,The night before Christmas ,Coat,Sleigh rides ,Blocking traffic ,Cookies ,Kids,His facial hair ,Too many presents ,Sleep,Jingle bells ,Halloween ,Ornaments ,Call him,Marshmallow ,Closet,Mrs clause ,Candy cane ,Christmas lights are up
11/7/2023 19:51:11,Build a snowman ,At Nick,Bar,It's a Wonderful Life,Blitzen,Padded seat for sleigh,Kitchen appliances ,Sugar ,Candy canes,Rudolph ,Red hat,Snowball,Child,After thanksgiving ,Here comes Santa Claus ,Christmas music,Santa,5 golden rings ,Paper,Shave,Ball,Going to midnight mass ,Time with their kids/grandkids ,Wrapping gifts ,Nurse,"Kiss, under mistletoe ",Candles burning,6,Watch movies,Hospital ,Cookies,Baby jesus,Gingerbread ,Elves,Sleeps,Sister,How many gifts he delivered ,Mantle,Elves,Mary,We wish you a merry Christmas ,Fudge,'Twas the night before Christmas ,Santa's suit,"Drive sleigh, deliver gifts",Flying,Cookies,Reindeer,Santa seeking Mrs.,How much they spend.,Exchange gifts ,Christmas Shoes,Valentines Fay,Angels,Cook,Candy cane,A friends house,Mrs Claus,Candy canes,Thanksgiving is over
11/7/2023 21:10:47,Build a snowman,St nick,Church,The Holiday ,Dasher,World peace,A pedi egg,Sugar cookie,Carrots,Rudolph ,Belt,Snowman,Spouse,After Thanksgiving ,Wish you a merry Christmas ,Hip hop ,Snowman ,Turtle dove,Tape,Dye beard,Hockey stick,Making cookies,Pedicure,Decorate,Delivery man,Happy holidays ,Treats,4,Spend time with family,Fast food,Egg nog,Jesus,Elves,Mrs Claus ,Takes a long nap,Spouse ,His sleigh,Tree ,A Santa imposter,Wiseman ,Silent night,Cookies,Twas the night before Christmas,Poinsettia ,"Drive the sleigh, meet the reindeer ",Not signaling,Milk,Magic,His sleigh,Too commercialized ,Go to a movie,Jingle bells,Easter ,Ornaments ,Feed the elves,Marshmallows ,Closet,Mrs Claus ,Peppermint junior mints,Egg nog is on shelves
11/7/2023 21:28:59,Sledding ,St. Nick ,Strip club ,All the Hallmark movies,Cupid,New boots,Paper shredder ,Sugar ,Popcorn ,Comet ,Belt,Snowman ,Spouse ,After Thanksgiving ,Rudolph the red nose reindeer ,Indie Rock ,Angels,Partridge in a pear tree ,Wrapping paper ,Shave ,Balls,Pjs,Clean house ,Decorating ,Fireman ,Happy holidays ,Cinnamon ,2,Waking up to gifts ,Walmart ,Christmas tree ,Mary,Snow ,Tooth fairy ,Takes a nap ,Dad,His job ,House,Elfs,Joseph ,Holy Night ,Gingerbread ,Birth of Jesus ,Santa hat ,Ride in the sleigh ,No brake lights,Stocking,Children ,Wardrobe ,Expenses ,Return gifts,Jingle Bells ,Easter ,Star,Clean,Candy cane ,Under the bed ,Mrs. Claus ,Candy canes,It's December 
11/7/2023 21:47:01,Sled ,St Nicholas ,Church,Elf,Rudolf ,New suit ,Underwear,Sugar cookie ,Hot chocolate ,Pranced ,Hat ,Dnowman,Husband ,November ,Jingle bells ,Christmas music ,Santa ,Golden rings ,Tape,Shave ,Large ones ,Pjs,No kids fighting ,Listening to Christmas music,Dr ,Merry Christmas ,Pine tree ,2,Open presents ,Hospital ,Tree ,Jesus ,Snow,Tooth fairy ,Sleeps,Dad ,His speed ,Tree,Toy making ,Jesus ,Jingle bells ,Cookies,Rudolph,Candy cane ,Sledding ,Flying to high ,Cookie,Reindeer ,Suit ,Family schedules ,Play with toys ,Christmas shoes ,Easter,Star,Sleep,Marshmallow ,Closet,Buddy,Candy cane ,Halloween is over 
11/7/2023 23:37:46,Build snowmen,Kris Kringle,In court,Charlie Brown Christmas ,Vixen,Golf clubs,Divorce papers,Chocolate chip,Chips,Blitzen,Hat,Snowflake,Children,Day after Thanksgiving ,Jingle Bells,Hard Rock,Santa ,Two turtle doves,Tape,Wear a business suit,Toys,Hang stockings,Massage,Making candy,Doctor,Hello!,Peppermint ,2,Open presents ,Gas station ,White Elephant gifts,Baby Jesus ,Elves,Easter Bunny,Takes a nap ,Husband,Speedy deliveries,Sugar cookies ,Elf riots ,Mary,Silent Night,Gingerbread ,Night before Christmas ,Candy cane,Sleigh rides,Expired license plate ,Cookies and milk,Dairy,His age,Commercialism,Visit family,O Holy Night,Valentines Day,Lights,Clean out the toy shop.,More chocolate ,Closet,Mrs. Claus,Chocolate orange ,Holiday music starts
11/8/2023 5:27:15,Ski,St. Nick,Jail,Christmas Vacation ,Vixen ,Hey Dudes,Any small appliance,Chocolate chip ,Chocolate ,Dancer,Belt,Snowball,Wife,After Thanksgiving ,Here comes Santa Clause,Jazz,Snowmen,Partridge,Tape,Dye his hair,Bicycle ,Opening 1 gift,Maid,Listen to Christmas Music ,Nurse,Happy Holidays,Cinnamon pinecones ,3,Hang with family,Gas station,Bingo,Camel,Elves,Ruldolph,Takes a nap,Parents,His full beard,House,Holiday Cheer,Mary ,Silver Bells,Cheesecake ,The Night Before Christmas,Candy cane,Cruising in the sleigh,Animal endangerment ,Stockings,Milk,His outfits,Cost,Relax,Rudolph Red nose reindeer,Halloween ,Ornaments ,Watch the flight tracker,Flavored Creamer,Closet,Mrs Claus,Candy canes ,After Thanksgiving Day
11/8/2023 6:02:47,Build a snowman,Chris Kringle,Jungle,A Christmas Carol,Cupid,MP3 player,Toilet paper,Chocolate chip,Pie,Comet,Hat,Snowflakes,My wife,December 15,Santa Claus is Coming to Town,Pop Rock,Snowflakes,Partridge in a pear tree,Tape ,Wear sunglasses,Football,Watch Christmas movies,Sleep,Procrastinate shopping,Ambulance driver,Throw a snowball,Cinnamon,2 weeks,Open presents,Chinese restaurants,Hot chocolate,Jesus in the manger,Santa's elves ,The tooth fairy,Naps all day,Mom,Speed of his sleigh,Christmas tree,A government raid,Mary,We wish you a Merry Christmas ,Pie,T'was the Night Before Christmas,Peppermint,Sleigh riding ,Speeding ,Stockings,Reindeer,Style his beard,Commercialization,Play with presents,"None, play 'em all year!",Thanksgiving,Garland,Knit while watching her husband on the radar,Marshmallows,In the closet,The head elf,Candy canes,Christmas music starts playing on the radio
